it,ft,bt,transmission,ownerNo,Brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats_1,Color,Gear Box,Drive Type,City
0,4,2,1,0.2,Hyundai,86,0.8157894736842053,594000.0,Comprehensive,89667.0,0.40392706872370265,1197 CC,0.375,White,5 Speed,FWD,0
0,1,2,1,0.2,Hyundai,86,0.8421052631578902,710000.0,Third Party insurance,120000.0,0.5420757363253856,1396 CC,0.375,Others,6 Speed,FWD,0
0,4,2,1,0.2,Maruti,151,0.8421052631578902,692000.0,Zero Dep,56997.0,0.5021037868162692,1197 CC,0.375,Blue,5 Speed,FWD,0
0,4,8,1,0.2,Hyundai,72,0.7368421052631575,650000.0,Third Party insurance,120000.0,0.32328190743338003,1797 CC,0.375,Others,6 Speed ,FWD,0
0,4,2,1,0.2,Maruti,149,0.9473684210526301,411000.00000000006,Zero Dep,18835.0,0.5248948106591865,796 CC,0.375,Silver,5 Speed,,0
0,1,7,1,0.4,Mahindra,132,0.6578947368421026,650000.0,Third Party insurance,120000.0,0.17426367461430578,2179 CC,0.625,Gray,5 Speed,2 WD,0
0,4,2,1,0.2,Tata,261,0.8947368421052602,610000.0,Comprehensive,60932.0,0.5876577840112202,1199 CC,0.375,Red,5 Speed,FWD,0
0,4,7,0,0.4,Kia,101,0.9210526315789451,1675000.0,Comprehensive,33539.0,0.3302945301542777,1353 CC,0.375,White,7-Speed DCT,FWD,0
0,4,2,1,0.4,Tata,261,0.8684210526315752,530000.0,Comprehensive,66837.0,0.5876577840112202,1199 CC,0.375,Brown,5 Speed,FWD,0
0,4,2,1,0.4,Maruti,148,0.6052631578947327,250000.0,Third Party insurance,60000.0,0.4424964936886395,796 CC,0.375,Others,5 Speed,FWD,0
0,4,2,1,0.2,Hyundai,86,0.8947368421052602,715000.0,Third Party insurance,44285.0,0.40392706872370265,1197 CC,0.375,Grey,5 Speed,FWD,0
0,4,2,1,0.2,Hyundai,74,0.8684210526315752,625000.0,Comprehensive,36735.0,0.41444600280504895,1197 CC,0.375,Blue,5 Speed,FWD,0
0,1,7,1,0.4,Mahindra,132,0.6578947368421026,650000.0,Third Party insurance,120000.0,0.17426367461430578,2179 CC,0.75,Gray,5 Speed,FWD,0
0,4,2,0,0.2,Renault,228,0.973684210526315,550000.0,Third Party insurance,10000.0,,999 CC,0.375,Others,5 Speed,FWD,0
0,1,7,1,0.2,Tata,254,0.8684210526315752,825000.0,Comprehensive,53645.0,0.5056100981767181,1497 CC,0.375,White,6 Speed,FWD,0
0,4,2,1,0.4,Hyundai,73,0.5526315789473628,220000.00000000003,Third Party insurance,100000.0,0.28821879382889204,1341 CC,0.375,Others,5 Speed,,0
0,4,2,0,0.2,Maruti,154,0.7631578947368425,428000.0,Comprehensive,53982.0,0.6872370266479663,998 CC,0.375,Others,5-Speed,,0
0,1,8,1,0.2,Skoda,238,0.7631578947368425,695000.0,Third Party insurance,110000.0,0.49298737727910236,1498 CC,0.375,Black,5 Speed,FWD,0
0,4,7,1,0.4,Ford,47,0.8947368421052602,930000.0000000001,Third Party insurance,37741.0,0.30925666199158486,1496 CC,0.375,White,5 Speed,FWD,0
0,4,2,1,0.2,Maruti,149,0.9473684210526301,455000.0,Comprehensive,17367.0,0.5248948106591865,796 CC,0.375,Silver,5 Speed,,0
0,1,7,1,0.2,Hyundai,70,0.8421052631578902,1195000.0,Comprehensive,94000.0,0.4414446002805049,1582 CC,0.375,Grey,6 Speed,FWD,0
0,4,2,1,0.6000000000000001,Maruti,173,0.7631578947368425,442000.0,Comprehensive,54601.0,0.5364656381486675,1197 CC,0.375,White,5-Speed,,0
0,1,2,1,0.2,Maruti,173,0.8684210526315752,690000.0,Third Party insurance,110000.0,0.7475455820476857,1248 CC,0.375,Others,5,,0
0,4,2,1,0.4,Maruti,154,0.8421052631578902,500000.0,Third Party,64000.0,0.561711079943899,998 CC,0.375,Red,5 Speed ,FWD,0
0,1,8,1,0.2,Maruti,157,0.7894736842105203,650000.0,Third Party insurance,100000.0,0.6707573632538569,1248 CC,0.375,White,5 Speed,FWD,0
0,4,2,0,0.4,Honda,63,0.8157894736842053,537000.0,Comprehensive,44154.0,,1199 CC,0.375,White,5 Speed,FWD,0
0,1,4,1,0.2,Renault,230,0.8157894736842053,750000.0,Third Party insurance,70000.0,0.45231416549789616,1461 CC,0.625,White,6 Speed,FWD,0
0,4,8,0,0.2,Skoda,237,0.8684210526315752,1789999.9999999998,Comprehensive,79000.0,0.2812061711079944,1798 CC,0.375,White,7 Speed,FWD,0
0,4,2,1,0.4,Tata,261,0.8421052631578902,468000.0,Third Party insurance,68039.0,0.5876577840112202,1199 CC,0.375,Orange,5 Speed,FWD,0
0,4,2,1,0.4,Maruti,169,0.7631578947368425,420000.0,Third Party insurance,60000.0,0.4004207573632538,1197 CC,0.375,Silver,5 Speed,FWD,0
0,4,2,1,0.4,Maruti,169,0.7631578947368425,420000.0,Third Party insurance,60000.0,0.4004207573632538,1197 CC,0.375,Silver,5 Speed,FWD,0
0,4,2,1,0.2,Hyundai,86,0.9473684210526301,919999.9999999999,Third Party insurance,10000.0,,998 CC,0.375,Others,6 Speed IMT,,0
0,4,8,1,0.2,Honda,60,0.7368421052631575,533000.0,Third Party,49873.0,0.3408134642356241,1497 CC,0.375,Yellow,5 Speed,FWD,0
0,4,2,0,0.6000000000000001,Volkswagen,286,0.7368421052631575,850000.0,Third Party insurance,90000.0,0.35483870967741926,1197 CC,0.375,Others,7 Speed,FWD,0
0,1,8,1,0.4,Skoda,238,0.8421052631578902,751000.0,Third Party insurance,48960.0,0.4926367461430574,1498 CC,0.375,Silver,5 Speed,FWD,0
0,1,2,1,0.4,Hyundai,74,0.7631578947368425,388000.0,Third Party insurance,70000.0,,1120 CC,0.375,Others,5 Speed,FWD,0
0,4,2,1,0.4,Hyundai,86,0.7368421052631575,490000.00000000006,Comprehensive,68000.0,0.4004207573632538,1197 CC,0.375,Silver,5 Speed,FWD,0
